APPROACH TYPE,TOPIC_LEVEL_1 / ROLE_NAME,CATEGORY-2,CATEGORY-3,CATEGORY-4,CATEGORY-5,CATEGORY-6
topic-based,analyst,data analysis & interpretation,exploratory data analysis,data profiling,data quality assessment,duplicate records
topic-based,analyst,data analysis & interpretation,exploratory data analysis,data profiling,data quality assessment,data consistency
topic-based,analyst,data analysis & interpretation,exploratory data analysis,data profiling,data quality assessment,data accuracy
topic-based,analyst,data analysis & interpretation,exploratory data analysis,data profiling,initial statistics,descriptive statistics
topic-based,analyst,data analysis & interpretation,exploratory data analysis,data profiling,initial statistics,distribution characteristics
topic-based,analyst,data analysis & interpretation,exploratory data analysis,data profiling,initial statistics,summary measures
topic-based,analyst,data analysis & interpretation,exploratory data analysis,distribution analysis,distribution shape,normal distribution
topic-based,analyst,data analysis & interpretation,exploratory data analysis,distribution analysis,distribution shape,skewed distribution
topic-based,analyst,data analysis & interpretation,exploratory data analysis,distribution analysis,distribution shape,bimodal distribution
topic-based,analyst,data analysis & interpretation,exploratory data analysis,distribution analysis,statistical properties,central tendency
topic-based,analyst,data analysis & interpretation,exploratory data analysis,distribution analysis,statistical properties,variability measures
topic-based,analyst,data analysis & interpretation,exploratory data analysis,distribution analysis,statistical properties,extreme values
topic-based,analyst,data analysis & interpretation,exploratory data analysis,distribution analysis,visual analysis,histogram analysis
topic-based,analyst,data analysis & interpretation,exploratory data analysis,distribution analysis,visual analysis,box plot analysis
topic-based,analyst,data analysis & interpretation,exploratory data analysis,distribution analysis,visual analysis,q-q plot analysis
topic-based,analyst,data analysis & interpretation,descriptive analysis,summary statistics,central tendency measures,mean calculation
topic-based,analyst,data analysis & interpretation,descriptive analysis,summary statistics,central tendency measures,median analysis
topic-based,analyst,data analysis & interpretation,descriptive analysis,summary statistics,central tendency measures,mode identification
topic-based,analyst,data analysis & interpretation,descriptive analysis,summary statistics,variability measures,standard deviation
topic-based,analyst,data analysis & interpretation,descriptive analysis,summary statistics,variability measures,variance analysis
topic-based,analyst,data analysis & interpretation,descriptive analysis,summary statistics,variability measures,range analysis
topic-based,analyst,data analysis & interpretation,descriptive analysis,summary statistics,variability measures,interquartile range
topic-based,analyst,data analysis & interpretation,descriptive analysis,summary statistics,shape measures,skewness analysis
topic-based,analyst,data analysis & interpretation,descriptive analysis,summary statistics,shape measures,kurtosis analysis
topic-based,analyst,data analysis & interpretation,descriptive analysis,summary statistics,shape measures,distribution normality
topic-based,analyst,business intelligence & reporting,dashboard creation,dashboard design,layout design,grid layout
topic-based,analyst,business intelligence & reporting,dashboard creation,dashboard design,layout design,responsive design
topic-based,analyst,business intelligence & reporting,dashboard creation,dashboard design,layout design,visual hierarchy
topic-based,analyst,business intelligence & reporting,dashboard creation,dashboard design,color scheme,brand colors
topic-based,analyst,business intelligence & reporting,dashboard creation,dashboard design,color scheme,accessibility colors
topic-based,analyst,business intelligence & reporting,dashboard creation,dashboard design,color scheme,color psychology
topic-based,analyst,business intelligence & reporting,dashboard creation,dashboard design,typography,font selection
topic-based,analyst,business intelligence & reporting,dashboard creation,dashboard design,typography,text hierarchy
topic-based,analyst,business intelligence & reporting,dashboard creation,dashboard design,typography,readability
topic-based,analyst,business intelligence & reporting,dashboard creation,metric selection,key performance indicators,primary kpis
topic-based,analyst,business intelligence & reporting,dashboard creation,metric selection,key performance indicators,secondary kpis
topic-based,analyst,business intelligence & reporting,dashboard creation,metric selection,key performance indicators,leading indicators
topic-based,analyst,business intelligence & reporting,dashboard creation,metric selection,key performance indicators,lagging indicators
topic-based,analyst,business intelligence & reporting,dashboard creation,metric selection,metric prioritization,business impact
topic-based,analyst,business intelligence & reporting,dashboard creation,metric selection,metric prioritization,user importance
topic-based,analyst,business intelligence & reporting,dashboard creation,metric selection,metric prioritization,data availability
topic-based,analyst,business intelligence & reporting,dashboard creation,metric selection,metric relationships,correlation analysis
topic-based,analyst,business intelligence & reporting,dashboard creation,metric selection,metric relationships,cause-effect relationships
topic-based,analyst,business intelligence & reporting,dashboard creation,metric selection,metric relationships,metric dependencies
topic-based,analyst,analytical communication & storytelling,data storytelling,narrative development,story arc,problem setup
topic-based,analyst,analytical communication & storytelling,data storytelling,narrative development,story arc,discovery journey
topic-based,analyst,analytical communication & storytelling,data storytelling,narrative development,story arc,resolution
topic-based,analyst,analytical communication & storytelling,data storytelling,narrative development,story arc,call to action
topic-based,analyst,analytical communication & storytelling,data storytelling,narrative development,character development,stakeholder personas
topic-based,analyst,analytical communication & storytelling,data storytelling,narrative development,character development,audience identification
topic-based,analyst,analytical communication & storytelling,data storytelling,narrative development,character development,emotional connection
topic-based,analyst,analytical communication & storytelling,data storytelling,narrative development,plot development,conflict introduction
topic-based,analyst,analytical communication & storytelling,data storytelling,narrative development,plot development,tension building
topic-based,analyst,analytical communication & storytelling,data storytelling,narrative development,plot development,resolution path
topic-based,analyst,analytical communication & storytelling,data storytelling,story structure,three-act structure,setup
topic-based,analyst,analytical communication & storytelling,data storytelling,story structure,three-act structure,confrontation
topic-based,analyst,analytical communication & storytelling,data storytelling,story structure,three-act structure,resolution
topic-based,analyst,analytical communication & storytelling,data storytelling,story structure,scqa framework,situation
topic-based,analyst,analytical communication & storytelling,data storytelling,story structure,scqa framework,complication
topic-based,analyst,analytical communication & storytelling,data storytelling,story structure,scqa framework,question
topic-based,analyst,analytical communication & storytelling,data storytelling,story structure,scqa framework,answer
topic-based,analyst,analytical communication & storytelling,data storytelling,story structure,hero's journey,status quo
topic-based,analyst,analytical communication & storytelling,data storytelling,story structure,hero's journey,call to adventure
topic-based,analyst,analytical communication & storytelling,data storytelling,story structure,hero's journey,return with solution
topic-based,analyst,cross-functional collaboration,business partnership,partnership development,relationship building,initial contact
topic-based,analyst,cross-functional collaboration,business partnership,partnership development,relationship building,trust development
topic-based,analyst,cross-functional collaboration,business partnership,partnership development,relationship building,credibility establishment
topic-based,analyst,cross-functional collaboration,business partnership,partnership development,value proposition,service offering
topic-based,analyst,cross-functional collaboration,business partnership,partnership development,value proposition,unique value
topic-based,analyst,cross-functional collaboration,business partnership,partnership development,value proposition,benefit communication
topic-based,analyst,cross-functional collaboration,business partnership,partnership development,partnership framework,roles and responsibilities
topic-based,analyst,cross-functional collaboration,business partnership,partnership development,partnership framework,communication protocols
topic-based,analyst,cross-functional collaboration,business partnership,partnership development,partnership framework,success metrics
topic-based,analyst,cross-functional collaboration,business partnership,relationship management,ongoing communication,regular check-ins
topic-based,analyst,cross-functional collaboration,business partnership,relationship management,ongoing communication,status updates
topic-based,analyst,cross-functional collaboration,business partnership,relationship management,ongoing communication,progress reports
topic-based,analyst,cross-functional collaboration,business partnership,relationship management,conflict resolution,issue identification
topic-based,analyst,cross-functional collaboration,business partnership,relationship management,conflict resolution,mediation
topic-based,analyst,cross-functional collaboration,business partnership,relationship management,conflict resolution,solution development
topic-based,analyst,cross-functional collaboration,business partnership,relationship management,performance management,partnership assessment
topic-based,analyst,cross-functional collaboration,business partnership,relationship management,performance management,improvement planning
topic-based,analyst,cross-functional collaboration,business partnership,relationship management,performance management,success celebration
topic-based,analyst,business context & domain knowledge,industry knowledge,industry trends,market trends,growth trends
topic-based,analyst,business context & domain knowledge,industry knowledge,industry trends,market trends,technology trends
topic-based,analyst,business context & domain knowledge,industry knowledge,industry trends,market trends,consumer trends
topic-based,analyst,business context & domain knowledge,industry knowledge,industry trends,market trends,economic trends
topic-based,analyst,business context & domain knowledge,industry knowledge,industry trends,emerging trends,innovation trends
topic-based,analyst,business context & domain knowledge,industry knowledge,industry trends,emerging trends,disruptive trends
topic-based,analyst,business context & domain knowledge,industry knowledge,industry trends,emerging trends,future predictions
topic-based,analyst,business context & domain knowledge,industry knowledge,industry trends,cyclical patterns,seasonal patterns
topic-based,analyst,business context & domain knowledge,industry knowledge,industry trends,cyclical patterns,business cycles
topic-based,analyst,business context & domain knowledge,industry knowledge,industry trends,cyclical patterns,market cycles
topic-based,analyst,business context & domain knowledge,industry knowledge,market dynamics,supply and demand,supply analysis
topic-based,analyst,business context & domain knowledge,industry knowledge,market dynamics,supply and demand,demand analysis
topic-based,analyst,business context & domain knowledge,industry knowledge,market dynamics,supply and demand,market equilibrium
topic-based,analyst,business context & domain knowledge,industry knowledge,market dynamics,market forces,competitive forces
topic-based,analyst,business context & domain knowledge,industry knowledge,market dynamics,market forces,economic forces
topic-based,analyst,business context & domain knowledge,industry knowledge,market dynamics,market forces,regulatory forces
topic-based,analyst,business context & domain knowledge,industry knowledge,market dynamics,customer behavior,buying behavior
topic-based,analyst,business context & domain knowledge,industry knowledge,market dynamics,customer behavior,decision making
topic-based,analyst,business context & domain knowledge,industry knowledge,market dynamics,customer behavior,preference changes
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort definition,cohort criteria,time-based cohorts
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort definition,cohort criteria,behavior-based cohorts
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort definition,cohort criteria,attribute-based cohorts
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort definition,cohort size,sample size requirements
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort definition,cohort size,statistical power
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort definition,cohort size,cohort comparability
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort definition,cohort selection,random selection
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort definition,cohort selection,purposive selection
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort definition,cohort selection,convenience selection
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort tracking,performance tracking,metric definition
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort tracking,performance tracking,data collection
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort tracking,performance tracking,progress monitoring
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort tracking,behavioral tracking,activity monitoring
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort tracking,behavioral tracking,engagement tracking
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort tracking,behavioral tracking,usage patterns
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort tracking,longitudinal analysis,time series analysis
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort tracking,longitudinal analysis,trend analysis
topic-based,analyst,specialized analytical techniques,cohort analysis,cohort tracking,longitudinal analysis,change analysis
topic-based,analyst,specialized analytical techniques,customer segmentation,segmentation strategy,segmentation approach,geographic segmentation
topic-based,analyst,specialized analytical techniques,customer segmentation,segmentation strategy,segmentation approach,demographic segmentation
topic-based,analyst,specialized analytical techniques,customer segmentation,segmentation strategy,segmentation approach,psychographic segmentation
topic-based,analyst,specialized analytical techniques,customer segmentation,segmentation strategy,segmentation approach,behavioral segmentation
topic-based,analyst,specialized analytical techniques,customer segmentation,segmentation strategy,segmentation criteria,measurable criteria
topic-based,analyst,specialized analytical techniques,customer segmentation,segmentation strategy,segmentation criteria,accessible criteria
topic-based,analyst,specialized analytical techniques,customer segmentation,segmentation strategy,segmentation criteria,substantial criteria
topic-based,analyst,specialized analytical techniques,customer segmentation,segmentation strategy,segmentation criteria,actionable criteria
topic-based,analyst,specialized analytical techniques,customer segmentation,segmentation strategy,segmentation variables,primary variables
topic-based,analyst,specialized analytical techniques,customer segmentation,segmentation strategy,segmentation variables,secondary variables
topic-based,analyst,specialized analytical techniques,customer segmentation,segmentation strategy,segmentation variables,interaction variables
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,executive summary,key findings summary
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,executive summary,recommendations summary
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,executive summary,impact summary
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,executive summary,next steps summary
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,introduction section,background information
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,introduction section,objectives statement
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,introduction section,scope definition
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,introduction section,report structure
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,methodology section,data sources
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,methodology section,analysis methods
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,methodology section,limitations
topic-based,analyst,analytical output & deliverables,analytical reports,report structure,methodology section,assumptions
topic-based,analyst,analytical output & deliverables,analytical reports,findings section,key findings,primary findings
topic-based,analyst,analytical output & deliverables,analytical reports,findings section,key findings,secondary findings
topic-based,analyst,analytical output & deliverables,analytical reports,findings section,key findings,supporting evidence
topic-based,analyst,analytical output & deliverables,analytical reports,findings section,key findings,data visualization
topic-based,analyst,analytical output & deliverables,analytical reports,findings section,analysis details,detailed analysis
topic-based,analyst,analytical output & deliverables,analytical reports,findings section,analysis details,statistical results
topic-based,analyst,analytical output & deliverables,analytical reports,findings section,analysis details,interpretation
topic-based,analyst,analytical output & deliverables,analytical reports,findings section,analysis details,implications
topic-based,analyst,analytical output & deliverables,business cases,business case development,problem statement,problem definition
topic-based,analyst,analytical output & deliverables,business cases,business case development,problem statement,problem impact
topic-based,analyst,analytical output & deliverables,business cases,business case development,problem statement,urgency assessment
topic-based,analyst,analytical output & deliverables,business cases,business case development,problem statement,stakeholder impact
topic-based,analyst,analytical output & deliverables,business cases,business case development,solution options,option generation
topic-based,analyst,analytical output & deliverables,business cases,business case development,solution options,option evaluation
topic-based,analyst,analytical output & deliverables,business cases,business case development,solution options,option comparison
topic-based,analyst,analytical output & deliverables,business cases,business case development,solution options,recommendation
topic-based,analyst,analytical output & deliverables,business cases,business case development,cost-benefit analysis,cost identification
topic-based,analyst,analytical output & deliverables,business cases,business case development,cost-benefit analysis,benefit quantification
topic-based,analyst,analytical output & deliverables,business cases,business case development,cost-benefit analysis,net benefit calculation
topic-based,analyst,analytical output & deliverables,business cases,business case development,cost-benefit analysis,sensitivity analysis
topic-based,analyst,industry-specific analysis,healthcare analysis,patient outcomes analysis,outcome measurement,clinical outcomes
topic-based,analyst,industry-specific analysis,healthcare analysis,patient outcomes analysis,outcome measurement,patient satisfaction
topic-based,analyst,industry-specific analysis,healthcare analysis,patient outcomes analysis,outcome measurement,quality of life
topic-based,analyst,industry-specific analysis,healthcare analysis,patient outcomes analysis,outcome measurement,functional status
topic-based,analyst,industry-specific analysis,healthcare analysis,patient outcomes analysis,risk adjustment,case mix adjustment
topic-based,analyst,industry-specific analysis,healthcare analysis,patient outcomes analysis,risk adjustment,severity adjustment
topic-based,analyst,industry-specific analysis,healthcare analysis,patient outcomes analysis,risk adjustment,comorbidity adjustment
topic-based,analyst,industry-specific analysis,healthcare analysis,patient outcomes analysis,performance benchmarking,peer comparison
topic-based,analyst,industry-specific analysis,healthcare analysis,patient outcomes analysis,performance benchmarking,best practice analysis
topic-based,analyst,industry-specific analysis,healthcare analysis,patient outcomes analysis,performance benchmarking,quality indicators
topic-based,analyst,industry-specific analysis,healthcare analysis,clinical data analysis,electronic health records,data extraction
topic-based,analyst,industry-specific analysis,healthcare analysis,clinical data analysis,electronic health records,data standardization
topic-based,analyst,industry-specific analysis,healthcare analysis,clinical data analysis,electronic health records,data quality assessment
topic-based,analyst,industry-specific analysis,healthcare analysis,clinical data analysis,laboratory data,test results analysis
topic-based,analyst,industry-specific analysis,healthcare analysis,clinical data analysis,laboratory data,reference range analysis
topic-based,analyst,industry-specific analysis,healthcare analysis,clinical data analysis,laboratory data,trend analysis
topic-based,analyst,industry-specific analysis,healthcare analysis,clinical data analysis,diagnostic data,diagnosis coding
topic-based,analyst,industry-specific analysis,healthcare analysis,clinical data analysis,diagnostic data,diagnosis patterns
topic-based,analyst,industry-specific analysis,healthcare analysis,clinical data analysis,diagnostic data,diagnosis accuracy
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,sales performance metrics,revenue analysis
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,sales performance metrics,unit sales analysis
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,sales performance metrics,average transaction value
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,sales performance metrics,conversion rate analysis
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,product performance,best sellers analysis
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,product performance,slow movers analysis
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,product performance,category performance
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,product performance,seasonal performance
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,channel analysis,online vs offline
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,channel analysis,channel performance
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,channel analysis,cross-channel analysis
topic-based,analyst,industry-specific analysis,retail & e-commerce analysis,sales analysis,channel analysis,channel optimization
topic-based,analytics,statistics & probability,descriptive statistics,measures of central tendency,mean,arithmetic mean
topic-based,analytics,statistics & probability,descriptive statistics,measures of central tendency,mean,geometric mean
topic-based,analytics,statistics & probability,descriptive statistics,measures of central tendency,mean,harmonic mean
topic-based,analytics,statistics & probability,descriptive statistics,measures of central tendency,mean,weighted mean
topic-based,analytics,statistics & probability,descriptive statistics,measures of central tendency,median,sample median
topic-based,analytics,statistics & probability,descriptive statistics,measures of central tendency,median,population median
topic-based,analytics,statistics & probability,descriptive statistics,measures of central tendency,median,median calculation methods
topic-based,analytics,statistics & probability,descriptive statistics,measures of central tendency,mode,unimodal distribution
topic-based,analytics,statistics & probability,descriptive statistics,measures of central tendency,mode,bimodal distribution
topic-based,analytics,statistics & probability,descriptive statistics,measures of central tendency,mode,multimodal distribution
topic-based,analytics,statistics & probability,descriptive statistics,measures of variability,standard deviation,population standard deviation
topic-based,analytics,statistics & probability,descriptive statistics,measures of variability,standard deviation,sample standard deviation
topic-based,analytics,statistics & probability,descriptive statistics,measures of variability,standard deviation,standard error
topic-based,analytics,statistics & probability,descriptive statistics,measures of variability,variance,population variance
topic-based,analytics,statistics & probability,descriptive statistics,measures of variability,variance,sample variance
topic-based,analytics,statistics & probability,descriptive statistics,measures of variability,variance,variance properties
topic-based,analytics,statistics & probability,descriptive statistics,measures of variability,range,sample range
topic-based,analytics,statistics & probability,descriptive statistics,measures of variability,range,interquartile range
topic-based,analytics,statistics & probability,descriptive statistics,measures of variability,range,percentile ranges
topic-based,analytics,statistics & probability,descriptive statistics,data distribution,normal distribution,standard normal
topic-based,analytics,statistics & probability,descriptive statistics,data distribution,normal distribution,z-score transformation
topic-based,analytics,statistics & probability,descriptive statistics,data distribution,normal distribution,normal approximation
topic-based,analytics,statistics & probability,descriptive statistics,data distribution,skewness,positive skew
topic-based,analytics,statistics & probability,descriptive statistics,data distribution,skewness,negative skew
topic-based,analytics,statistics & probability,descriptive statistics,data distribution,skewness,skewness measures
topic-based,analytics,statistics & probability,descriptive statistics,data distribution,kurtosis,mesokurtic
topic-based,analytics,statistics & probability,descriptive statistics,data distribution,kurtosis,leptokurtic
topic-based,analytics,statistics & probability,descriptive statistics,data distribution,kurtosis,platykurtic
topic-based,analytics,statistics & probability,descriptive statistics,frequency analysis,frequency tables,absolute frequency
topic-based,analytics,statistics & probability,descriptive statistics,frequency analysis,frequency tables,relative frequency
topic-based,analytics,statistics & probability,descriptive statistics,frequency analysis,frequency tables,cumulative frequency
topic-based,analytics,statistics & probability,descriptive statistics,frequency analysis,histograms,bin width selection
topic-based,analytics,statistics & probability,descriptive statistics,frequency analysis,histograms,frequency histograms
topic-based,analytics,statistics & probability,descriptive statistics,frequency analysis,histograms,density histograms
topic-based,analytics,statistics & probability,descriptive statistics,data summarization,five number summary,minimum value
topic-based,analytics,statistics & probability,descriptive statistics,data summarization,five number summary,first quartile
topic-based,analytics,statistics & probability,descriptive statistics,data summarization,five number summary,median value
topic-based,analytics,statistics & probability,descriptive statistics,data summarization,five number summary,third quartile
topic-based,analytics,statistics & probability,descriptive statistics,data summarization,five number summary,maximum value
topic-based,analytics,statistics & probability,descriptive statistics,data summarization,box plots,box construction
topic-based,analytics,statistics & probability,descriptive statistics,data summarization,box plots,outlier detection
topic-based,analytics,statistics & probability,descriptive statistics,data summarization,box plots,whisker rules
topic-based,analytics,statistics & probability,descriptive statistics,graphical summaries,scatter plots,correlation visualization
